original_feature,feature_name,coefficient,abs_coefficient,p_value,confint_lb,confint_ub,pseudo_r2,individual_auc,individual_log_loss
medical_specialty,medical_specialty_Orthopedics,0.005767355558574769,0.005767355558574769,0.9361404166612146,-0.13531720333020858,0.14685191444735812,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Orthopedics-Reconstructive,-0.3054633264091087,0.3054633264091087,0.00010138844302409744,-0.4594737594280487,-0.15145289339016876,0.0002800238920865894,0.5020167359454689,0.6929530827886561
medical_specialty,medical_specialty_Osteopath,5.0296286952514614e-05,5.0296286952514614e-05,0.9998931896170982,-0.7363530595733838,0.7364536521472889,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Otolaryngology,-0.3121028509670556,0.3121028509670556,0.2571717456997411,-0.8519621026925464,0.22775640075843517,0.0003178130667114143,0.5005670142245123,0.6929268893288092
medical_specialty,medical_specialty_OutreachServices,-0.00022673350331757933,0.00022673350331757933,0.9997406868714678,-1.3675918402149259,1.367138373208291,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Pathology,-0.00013901298231650357,0.00013901298231650357,0.9998581687506254,-1.532908113751831,1.5326300877871981,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Pediatrics,-0.27884438757021185,0.27884438757021185,0.15467206747346007,-0.6628521983507025,0.10516342321027883,0.0002179385544488488,0.5007120066105821,0.6929961170653938
medical_specialty,medical_specialty_Pediatrics-AllergyandImmunology,-9.875932891389893e-05,9.875932891389893e-05,0.9999498544125756,-3.0800136379751097,3.079816119317282,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Pediatrics-CriticalCare,-0.00011556543714231232,0.00011556543714231232,0.9997248093534248,-0.6568466853475994,0.6566155544733148,0.00012818647832668617,0.5003387647669206,0.6930583284639072
medical_specialty,medical_specialty_Pediatrics-EmergencyMedicine,0.00013678789695418774,0.00013678789695418774,0.9999660577411087,-6.302180123499967,6.302453699293875,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Pediatrics-Endocrinology,-0.3158544936123119,0.3158544936123119,0.33318583952579517,-0.9555757491187411,0.32386676189411734,0.0005905287556761118,0.5008298418287154,0.6927378572179088
medical_specialty,medical_specialty_Pediatrics-Hematology-Oncology,-0.00022934988721785696,0.00022934988721785696,0.99978223648112,-1.6472790597044966,1.6468203599300608,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Pediatrics-InfectiousDiseases,9.184652339976182e-05,9.184652339976182e-05,0.9999728876619001,-5.297628842087033,5.297812535133834,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Pediatrics-Neurology,8.441250652082595e-06,8.441250652082595e-06,0.9999930488819422,-1.8990810857253326,1.8990979682266367,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Pediatrics-Pulmonology,-9.39147093407089e-05,9.39147093407089e-05,0.9998446179615017,-0.9452991280006797,0.9451112985819983,0.0,0.5,0.6931471805599453
